date,month,year,holidays_count,days,pm2.5,pm10,no2,so2,co,ozone,aqi,day_of_week
1970-01-01 00:00:00.000000001,1,-1.3421922334223348,-0.4836865748630022,0.4993588189569073,4.4400807248286105,1.7345818872916485,3.5050729610572193,-0.4326353260101753,2.8682407401284618,0.3616379833164511,2.4107193457035567,3
1970-01-01 00:00:00.000000002,1,-1.3421922334223348,-0.4836865748630022,0.9990596645021411,4.3736244602375525,2.6593539184167856,0.44486294360069256,-0.9024625048647548,2.588680044027362,-1.0508929907995348,2.596309776741881,3
1970-01-01 00:00:00.000000003,1,-1.3421922334223348,2.06745452937832,1.4987605100473749,1.8749526800145213,0.16108455866929117,3.798712266741151,-0.5547782991486888,0.6153104244901849,0.41970166311942514,0.5640945568722336,3
1970-01-01 00:00:00.000000004,1,-1.3421922334223348,-0.4836865748630022,-1.499444563224028,-0.017096264813243826,-0.6664367033498222,3.3167916654397653,-0.5856163765252442,-0.026034701859397262,0.6783489640599457,0.044441349964926546,3
1970-01-01 00:00:00.000000005,1,-1.3421922334223348,-0.4836865748630022,-0.9997437176787942,-0.5125863552201017,-1.2586064620908746,2.4273542327491717,-0.6291524857627343,-0.6344903345500267,0.6619855633881987,-0.4937709000462129,3
1970-01-01 00:00:00.000000006,1,-1.3421922334223348,-0.4836865748630022,-0.5000428721335604,0.9049145993870633,-0.29460918041939427,2.996741861275558,-0.5934770629153466,0.25352599424170263,0.42920299254173,0.4620198198011554,3
1970-01-01 00:00:00.000000007,1,-1.3421922334223348,-0.4836865748630022,-0.00034202658832653364,0.38555051476787155,-0.6733997655769839,1.7517566425924276,-0.6225011357403399,-0.4864876130847385,0.6472057176201689,0.7960825956701385,3
1970-01-01 00:00:00.000000008,1,-1.3421922334223348,-0.4836865748630022,0.4993588189569073,0.6879544414574333,-0.2625017268163714,1.8579666042227856,-0.5904537219960765,-0.3878191321078796,0.3547759120670089,0.42490173359349065,3
1970-01-01 00:00:00.000000009,1,-1.3421922334223348,-0.4836865748630022,0.9990596645021411,0.7432415859491535,-0.1995246973395988,2.0232452076154823,-0.5862210447090983,-0.28915065113102084,0.3109642263974919,1.148704414642954,3
1970-01-01 00:00:00.000000010,1,-1.3421922334223348,2.06745452937832,1.4987605100473749,0.569561768404456,-0.2927523638254844,1.5938616194200232,-0.6158497857179457,-0.5522666004026444,0.8245638668365258,0.7589645094624737,3
1970-01-01 00:00:00.000000011,1,-1.3421922334223348,-0.4836865748630022,-1.499444563224028,0.6302938589446034,-0.07140435235982577,1.9278266324609357,-0.581383699238266,-0.45359811942578554,0.9881978735539981,0.7311259448067251,3
1970-01-01 00:00:00.000000012,1,-1.3421922334223348,-0.4836865748630022,-0.9997437176787942,1.1407226474843253,0.01950229338367258,2.1109962186951097,-0.5983144083861788,-0.19048217015416194,0.2824602381305774,1.1765429792987026,3
1970-01-01 00:00:00.000000013,1,-1.3421922334223348,-0.4836865748630022,-0.5000428721335604,1.8699265759698196,0.8651275171934063,2.517377114665812,-0.7760868544392631,0.31930498155960857,-0.25594842913336335,1.6312395353425964,3
1970-01-01 00:00:00.000000014,1,-1.3421922334223348,-0.4836865748630022,-0.00034202658832653364,3.560791745008269,1.5411634920927157,2.9933340550200382,-0.7023173360090716,1.1908765635218617,-0.22322162778986887,2.039538483626909,3
1970-01-01 00:00:00.000000015,1,-1.3421922334223348,-0.4836865748630022,0.4993588189569073,5.191483279511537,2.317467563063152,4.003180642072322,-0.6043610902247192,2.440677322562073,-0.5557681575705382,2.3550422163920595,3
1970-01-01 00:00:00.000000016,1,-1.3421922334223348,-0.4836865748630022,0.9990596645021411,1.3247339011209098,0.09702438617940465,2.4932384870225492,-0.7688308362330146,1.0264290952270967,-0.4649776764240697,1.7240347508617582,3
1970-01-01 00:00:00.000000017,1,-1.3421922334223348,2.06745452937832,1.4987605100473749,1.8322307956345556,0.2399218965523761,2.810448452640491,-0.6376178403366906,0.6153104244901849,0.02434078882462928,1.2971767594736132,3
1970-01-01 00:00:00.000000018,1,-1.3421922334223348,-0.4836865748630022,-1.499444563224028,1.9739390068948997,0.7727508916463961,4.916472718551553,-0.31351569379093175,0.48375244985437343,-0.43119517181143024,1.8446685310366688,3
1970-01-01 00:00:00.000000019,1,-1.3421922334223348,-0.4836865748630022,-0.9997437176787942,1.914882284369653,0.6271455237406391,4.220996258570945,-0.4308213214586131,1.0922080825450027,-0.7030387636162632,1.8353890094847527,3
1970-01-01 00:00:00.000000020,1,-1.3421922334223348,-0.4836865748630022,-0.5000428721335604,0.9652278479234855,-0.18908010399885647,2.9882223456367587,-0.7652028271298905,-0.2398164106425914,-0.23113940230845617,1.1115863284352892,3
1970-01-01 00:00:00.000000021,1,-1.3421922334223348,-0.4836865748630022,-0.00034202658832653364,1.2790801227148678,0.19822089054748632,6.7950259169066864,-0.8770664411428857,0.7797578927849498,-0.13929321789284263,1.1672634577467864,3
